security_no,symbol,isin,isin_derived,isin_matches_derived,name_en,name_he,symbol_he,sub_type,issuer_id,yahoo_ticker
1081983,GPAY-M,IL0010819832,IL0010819832,True,GLOBAL PAY-M,גלובל פיי-ש,גפיי-ש,Shares,1070,GPAY-M.TA
1082007,SHOM,IL0010820079,IL0010820079,True,SHOHAM BUSINESS,שוהם ביזנס,שוהם,Shares,1071,SHOM.TA
1082114,APLP,IL0010821143,IL0010821143,True,APOLLO POWER,אפולו פאוור,אפלפ,Shares,1074,APLP.TA
1082346,BHNY,IL0010823461,IL0010823461,True,BEEIO HONEY,ביו דבש,בדבש,Shares,2093,BHNY.TA
1082353,SNCM,IL0010823537,IL0010823537,True,SUNY COMMUN,סאני תקשורת,סנתק,Shares,2009,SNCM.TA
1082379,TSEM,IL0010823792,IL0010823792,True,TOWER,טאואר,טאואר,Shares,2028,TSEM.TA
1082510,GILT,IL0010825102,IL0010825102,True,GILAT,גילת,גילת,Shares,2030,GILT.TA
1082585,TFRLF,IL0010825854,IL0010825854,True,TEFRON,תפרון,תפרן,Shares,2076,TFRLF.TA
1082635,ELLO,IL0010826357,IL0010826357,True,ELLOMAY,אלומיי,אלומ,Shares,2101,ELLO.TA
1082726,TATT,IL0010827264,IL0010827264,True,TAT TECHNO,תאת טכנו,תאתטכ,Shares,2110,TATT.TA
1082858,WILC,IL0010828585,IL0010828585,True,WILLI FOOD INTE,ויליפוד אינטרנש,וילפ,Shares,2123,WILC.TA
1082965,AUDC,IL0010829658,IL0010829658,True,AUDIOCODES,אודיוקודס,אודק,Shares,2134,AUDC.TA
1083377,TOPG,IL0010833775,IL0010833775,True,TOP GROUP,טופ גרופ,טופג,Shares,1081,TOPG.TA
1083419,AGRD,IL0010834195,IL0010834195,True,AUTONOMOUS,אוטונומוס,אגרד,Shares,1082,AGRD.TA
1083443,GLDE,IL0010834435,IL0010834435,True,GOLDEN ENERGY,גולדן אנרג'י,גלדא,Shares,2156,GLDE.TA
1083484,PTNR,IL0010834849,IL0010834849,True,PARTNER,פרטנר,פרטנר,Shares,2095,PTNR.TA
1083831,UNIT,IL0010838311,IL0010838311,True,UNITRONICS,יוניטרוניקס,יונט,Shares,2170,UNIT.TA
1083856,ALAR,IL0010838568,IL0010838568,True,ALARUM,אלארום,אלאר,Shares,1091,ALAR.TA
1083930,NXGN-M,IL0010839301,IL0010839301,True,NEXTGEN-M,נקסט ג'ן-ש,נקגן-ש,Shares,1092,NXGN-M.TA
1083955,QLTU,IL0010839558,IL0010839558,True,QUALITAU,קווליטאו,קלטו,Shares,1093,QLTU.TA
1084128,DLEKG,IL0010841281,IL0010841281,True,DELEK GROUP,דלק קבוצה,דלקקב,Shares,1095,DLEKG.TA
1084367,TKUN-M,IL0010843675,IL0010843675,True,TIKUN OLAM CA-M,תיקון עולם קנ-ש,תקונ-ש,Shares,1102,TKUN-M.TA
1084482,IBIU,IL0010844822,IL0010844822,True,IBI UNDERWRIT,איביאי חיתום,אבאנ,Shares,1106,IBIU.TA
1084557,NVMI,IL0010845571,IL0010845571,True,NOVA,נובה,נובה,Shares,2177,NVMI.TA
1084698,HLAN,IL0010846983,IL0010846983,True,HILAN,חילן,חילן,Shares,1110,HLAN.TA
1084953,SNEL,IL0010849532,IL0010849532,True,SYNEL,סינאל,סנאל,Shares,1115,SNEL.TA
1085208,CGEN,IL0010852080,IL0010852080,True,COMPUGEN,קומפיוגן,קמפג,Shares,2188,CGEN.TA
1085265,ARAN,IL0010852650,IL0010852650,True,ARAN,ארן,ארן,Shares,1122,ARAN.TA
1085497,XTLB,IL0010854979,IL0010854979,True,XTL BIO,אקס טי אל,אקסבי,Shares,2190,XTLB.TA
1086230,ORTC,IL0010862303,IL0010862303,True,O.R.T.,או.אר.טי,ארטכ,Shares,1135,ORTC.TA
1087022,FOX,IL0010870223,IL0010870223,True,FOX,פוקס,פוקס,Shares,1140,FOX.TA
1087824,ELAL,IL0010878242,IL0010878242,True,EL AL,אל על,אלעל,Shares,1152,ELAL.TA
1090117,SPNTC,IL0010901176,IL0010901176,True,SPUNTECH,ספאנטק,ספנטק,Shares,1182,SPNTC.TA
1090141,TGI,IL0010901416,IL0010901416,True,TGI,טי.ג'י.איי,טגאי,Shares,1185,TGI.TA
1090281,NTV.B1-I,IL0010902810,IL0010902810,True,NETIVIM.B1-I,נתיבים אגח א-רמ,נתב.ק1רמ,Corporate Bonds TASE UP,1191,NTV-B1-I.TA
1090315,DIMRI,IL0010903156,IL0010903156,True,DIMRI,דמרי,דמרי,Shares,1193,DIMRI.TA
1090364,ELSPC,IL0010903644,IL0010903644,True,ELSPEC,אלספק,אלספק,Shares,1194,ELSPC.TA
1090943,RMN,IL0010909435,IL0010909435,True,RAM ON,רם און,רמאן,Shares,1209,RMN.TA
1091065,MTRN,IL0010910656,IL0010910656,True,MAYTRONICS,מיטרוניקס,מטרן,Shares,1212,MTRN.TA
1091248,LPHL,IL0010912488,IL0010912488,True,LAPIDOT HEL PU,לפידות חלץ יהש,לפחל,Participating unit ,1216,LPHL.TA
1091354,AFPR,IL0010913544,IL0010913544,True,AFI PROPERTIES,אפי נכסים,אפנכ,Shares,1172,AFPR.TA
1091651,ARD,IL0010916513,IL0010916513,True,ARAD,ארד,ארד,Shares,1219,ARD.TA
1091685,PCBT,IL0010916851,IL0010916851,True,P.C.B TEC,פיסיבי טכנ,פסבט,Shares,1221,PCBT.TA
1091933,GRIN,IL0010919335,IL0010919335,True,GOLAN INDUS,גולן תעשיות,גלתע,Shares,1226,GRIN.TA
1092204,AMRK,IL0010922040,IL0010922040,True,AMIR MARK.,עמיר שיווק,עמשק,Shares,1232,AMRK.TA
1092345,SCC,IL0010923451,IL0010923451,True,SPACE COM,חלל תקשורת,חלל,Shares,1132,SCC.TA
1092725,SARN,IL0010927254,IL0010927254,True,SARINE TECH,שרין טכנו,שרין,Shares,2226,SARN.TA
1092840,PPIL,IL0010928401,IL0010928401,True,PLASTOFIL,פלסטופיל,פפיל,Shares,1240,PPIL.TA
1093202,DRAL,IL0010932023,IL0010932023,True,DOR ALON,דור אלון,דראל,Shares,1072,DRAL.TA
1093558,UNVO-M,IL0010935588,IL0010935588,True,UNIVO-M,יוניבו-ש,יונב-ש,Shares,2230,UNVO-M.TA
1094044,ELCRE,IL0010940448,IL0010940448,True,ELECTRA REAL E.,אלקטרה נדלן,אלקנד,Shares,1264,ELCRE.TA
1094119,KMDA,IL0010941198,IL0010941198,True,KAMADA,קמהדע,קמדע,Shares,1267,KMDA.TA
1094283,BRMG,IL0010942832,IL0010942832,True,BRIMAG,ברימאג,ברמג,Shares,1269,BRMG.TA
1094390,AMD,IL0010943905,IL0010943905,True,AMIAD,עמיעד,עמעד,Shares,2234,AMD.TA
1094473,CANF,IL0010944739,IL0010944739,True,CAN FITE BIO,כן פייט ביופרמה,כנפב,Shares,1272,CANF.TA
1094515,BRAM,IL0010945157,IL0010945157,True,BRAM INDUS,ברם תעשיות,ברם,Shares,1274,BRAM.TA
1094986,OPAL,IL0010949860,IL0010949860,True,OPAL BALANCE,אופל בלאנס,אופל,Shares,1287,OPAL.TA
1095223,BOLT,IL0010952237,IL0010952237,True,BIOLIGHT,ביולייט,בולט,Shares,1293,BOLT.TA
1095264,CAMT,IL0010952641,IL0010952641,True,CAMTEK,קמטק,קמטק,Shares,2174,CAMT.TA
1095405,HDST-M,IL0010954050,IL0010954050,True,HADASIT BIO-M,הדסית ביו-ש,הדסת-ש,Shares,1294,HDST-M.TA
1095785,NXTM,IL0010957855,IL0010957855,True,NEXTCOM,נקסטקום,נקסט,Shares,1298,NXTM.TA
1095819,PERI,IL0010958192,IL0010958192,True,PERION NETWORK,פריון נטוורק,פריון,Shares,2240,PERI.TA
1095835,ARPT,IL0010958358,IL0010958358,True,AIRPORT CITY,ארפורט סיטי,ארפט,Shares,1300,ARPT.TA
1095892,GNGR,IL0010958929,IL0010958929,True,GINEGAR,גניגר,גנגר,Shares,1301,GNGR.TA
1096007,CNZN-M,IL0010960073,IL0010960073,True,CANZON-M,קנזון-ש,קנזנ-ש,Shares,1304,CNZN-M.TA
1096049,BIOV,IL0010960495,IL0010960495,True,BIO VIEW,ביו ויו,בויו,Shares,1305,BIOV.TA
1096106,ATRY,IL0010961063,IL0010961063,True,ATREYU CAP,אטראו שוקי הון,אטרא,Shares,1307,ATRY.TA
1096148,GOLF,IL0010961485,IL0010961485,True,GOLF,גולף,גולף,Shares,1310,GOLF.TA
1096890,BLWV-M,IL0010968902,IL0010968902,True,BLUE WAVE-M,בלו וייב-ש,בלוב-ש,Shares,1318,BLWV-M.TA
1097054,IBIS,IL0010970544,IL0010970544,True,IBI SILVER,איביאי סילבר,אבאס,Shares,1320,IBIS.TA
1097146,CPTP,IL0010971468,IL0010971468,True,CAPITAL POINT,קפיטל פוינט,קפטל,Shares,1325,CPTP.TA
1097229,TMIS,IL0010972292,IL0010972292,True,THEMIS,תמיס,תמיס,Shares,1289,TMIS.TA
1097260,BIG,IL0010972607,IL0010972607,True,BIG,ביג,ביג,Shares,1327,BIG.TA
1097278,AMOT,IL0010972789,IL0010972789,True,AMOT,אמות,אמות,Shares,1328,AMOT.TA
1097344,SPRG,IL0010973449,IL0010973449,True,SPRING,ספרינג,ספרג,Shares,1329,SPRG.TA
1097708,CPI0536,IL0010977085,IL0010977085,True,ILCPI4 05/36,ממשל צמודה 0536,ממצמ0536,Government Bonds,954,CPI0536.TA
1097948,AFRE,IL0010979487,IL0010979487,True,AFRICA RESIDENC,אפריקה מגורים,אפמג,Shares,1338,AFRE.TA
1098565,BLSR,IL0010985658,IL0010985658,True,BLUE SQ REAL ES,רבוע נדלן,רבנד,Shares,1349,BLSR.TA
1098755,SNFL,IL0010987555,IL0010987555,True,SUNFLOWER,סאנפלאואר,סנפל,Shares,1062,SNFL.TA
1098920,RIT1,IL0010989205,IL0010989205,True,REIT 1,ריט 1,ריט1,Shares,1357,RIT1.TA
1099456,GOI1026,IL0010994569,IL0010994569,True,ILGOV6.25 10/26,ממשל שקלית 1026,ממשק1026,Government Bonds,926,GOI1026.TA
1099654,ALLT,IL0010996549,IL0010996549,True,ALLOT,אלוט,אלוט,Shares,2252,ALLT.TA
1099761,PTX,IL0010997612,IL0010997612,True,PETROTX PU,פטרוטקס יהש,פטקס,Participating unit ,1369,PTX.TA
1099787,JEEN,IL0010997877,IL0010997877,True,JEEN AI TECH,ג'ין טכנולוגיות,גיין,Shares,1370,JEEN.TA
1100007,PAZ,IL0011000077,IL0011000077,True,PAZ ENERGY,פז אנרגיה,פז,Shares,1363,PAZ.TA
1100718,BWAY,IL0011007189,IL0011007189,True,BRAINSWAY,בריינסוויי,ברינ,Shares,1386,BWAY.TA
1100908,MKR.B6-I,IL0011009086,IL0011009086,True,MKOROT B6-I,מקורות אגח 6-רמ,מקר.ק6רמ,Corporate Bonds TASE UP,1150,MKR-B6-I.TA
1100957,AVGL,IL0011009573,IL0011009573,True,AVGOL,אבגול,אבגל,Shares,1390,AVGL.TA
1101450,ALMD,IL0011014508,IL0011014508,True,ALLMED SOLUTION,אולמד סולושנס,אלמד,Shares,1393,ALMD.TA
1101518,BLRX,IL0011015182,IL0011015182,True,BIOLINE RX,ביוליין,ביול,Shares,1394,BLRX.TA
1101534,CEL,IL0011015349,IL0011015349,True,CELLCOM,סלקום,סלקם,Shares,2066,CEL.TA
1101567,ALOL.B1I,IL0011015679,IL0011015679,True,ALON OIL B1-I,אלון דלק אגא-רמ,אדל.ק1רמ,Corporate Bonds TASE UP,2202,ALOL-B1I.TA
1101666,ABRA,IL0011016669,IL0011016669,True,ABRA,אברא,אברא,Shares,1397,ABRA.TA
1102128,PRSK,IL0011021289,IL0011021289,True,PRASHKOVSKY,פרשקובסקי,פרשק,Shares,1330,PRSK.TA
1102219,FRDN,IL0011022196,IL0011022196,True,FRIDENSON,פרידנזון,פרדנ,Shares,1403,FRDN.TA
1102532,CILO,IL0011025322,IL0011025322,True,CIELO-BLU,צילו-בלו,צילו,Shares,1331,CILO.TA
1103084,NGL.B1-I,IL0011030843,IL0011030843,True,GAS LUNES B1-I,נתיביגז אגחא-רמ,נתג.ק1רמ,Corporate Bonds TASE UP,1418,NGL-B1-I.TA
1103506,ORIN,IL0011035065,IL0011035065,True,ORIAN,אוריין,אורן,Shares,1425,ORIN.TA
1103571,SHNP,IL0011035719,IL0011035719,True,SCHNAPP,שנפ,שנפ,Shares,1427,SHNP.TA
1103852,ICHO,IL0011038523,IL0011038523,True,IC HOTELS,ישראל קנדה מלונ,יקנמ,Shares,1435,ICHO.TA
1103878,RVL,IL0011038788,IL0011038788,True,RAVAL,רבל,רבל,Shares,1436,RVL.TA
1104249,RMLI,IL0011042491,IL0011042491,True,RAMI LEVI,רמי לוי,רמלי,Shares,1445,RMLI.TA
1104280,CBI,IL0011042806,IL0011042806,True,CLAL BIOTECH,כלל ביוטכנו,כללבי,Shares,1447,CBI.TA
1104363,BARI,IL0011043630,IL0011043630,True,BARAK INVEST,ברק בית השקעות,ברקב,Shares,1344,BARI.TA
1104488,MGOR,IL0011044885,IL0011044885,True,MEGA OR,מגה אור,מגאר,Shares,1450,MGOR.TA
1104496,ORAD,IL0011044968,IL0011044968,True,ORAD,אורד,אורד,Shares,1451,ORAD.TA
1104744,GAON,IL0011047441,IL0011047441,True,GAON,גאון אחזקות,גאון,Shares,1452,GAON.TA
1104785,HMAM,IL0011047854,IL0011047854,True,HAMAMA,חממה סחר,חממה,Shares,1453,HMAM.TA
1104959,MSBI,IL0011049595,IL0011049595,True,HAMASHBIR 365,המשביר 365,משבי,Shares,1459,MSBI.TA
1105022,TIGBUR,IL0011050221,IL0011050221,True,TGBR,תיגבור קבוצה,תגבר,Shares,1460,TIGBUR.TA
1105055,EVGN,IL0011050551,IL0011050551,True,EVOGENE,אבוג'ן,אבגן,Shares,1461,EVGN.TA
1105097,NTML,IL0011050973,IL0011050973,True,NETO MALINDA,נטו מלינדה,נטמל,Shares,1463,NTML.TA
1105139,BBLS,IL0011051393,IL0011051393,True,BUBBLES,באבלס,בבלס,Shares,1465,BBLS.TA
1105162,WNBZ-L,IL0011051625,IL0011051625,True,WIND BU-L,ווינד באז-ס,ונבז-ס,Shares,1466,WNBZ-L.TA
1105196,MSHR,IL0011051963,IL0011051963,True,MISHORIM,מישורים,מישר,Shares,1467,MSHR.TA
1105535,KRNV.B1,IL0011055352,IL0011055352,True,KARDEN NV B1,קרדן אןוי אגח א,קרנו.ק1,Corporate Bonds,1154,KRNV-B1.TA
1105907,ARNG,IL0011059073,IL0011059073,True,AIRENGY TECH,אייראנג'י טק,ארנג,Shares,1473,ARNG.TA
1106376,INCR,IL0011063760,IL0011063760,True,INTERCURE,אינטרקיור,אנקר,Shares,1480,INCR.TA
1106749,MSLA,IL0011067498,IL0011067498,True,MASLAVI,מצלאוי,מצלא,Shares,1484,MSLA.TA
1108638,MLD-M,CY0106902113,IL0011086381,False,MIRLAND-M,מירלנד-ש,מרלד-ס,Shares,1502,MLD-M.TA
1109495,PLAZ.B1,IL0011094955,IL0011094955,True,PLAZA CENTRS B1,פלאזה סנט אגח א,פלזס.ק1,Corporate Bonds,1476,PLAZ-B1.TA
1109503,PLAZ.B2,IL0011095036,IL0011095036,True,PLAZA CENTRS B2,פלאזה סנט אגח ב,פלזס.ק2,Corporate Bonds,1476,PLAZ-B2.TA
1109644,SLARL,IL0011096448,IL0011096448,True,SELLA REAL EST,סלע נדלן,סלענד,Shares,1514,SLARL.TA
1109917,PLAZ-L,NL0011882741,IL0011099178,False,PLAZA CENTERS-L,פלאזה סנטר -ס,פלזס-ס,Shares,1476,PLAZ-L.TA
1109966,VTNA,IL0011099665,IL0011099665,True,VITANIA,ויתניה,ותנה,Shares,1515,VTNA.TA
111013,YBRD,IL0001110134,IL0001110134,True,Y.B RENEWAL,י.ב התחדשות,יבהמ,Shares,111,YBRD.TA
1110915,ADAMA.B2,IL0011109159,IL0011109159,True,ADAMA .B2,אדמה אגח ב,אדמה.ק2,Corporate Bonds,1063,ADAMA-B2.TA
1113034,KRNV.B2,IL0011130346,IL0011130346,True,KARDAN N.V. B2,קרדן אןוי אגח ב,קרנו.ק2,Corporate Bonds,1154,KRNV-B2.TA
1118116,GEFR,IL0011181166,IL0011181166,True,GEFFEN R&R,גפן מגורים,גפנמ,Shares,1532,GEFR.TA
1118447,KARE,IL0011184475,IL0011184475,True,KARDAN REAL ES,קרדן נדלן,קרנז,Shares,1083,KARE.TA
1119478,AZRG,IL0011194789,IL0011194789,True,AZRIELI GROUP,עזריאלי קבוצה,עזרל,Shares,1420,AZRG.TA
1119833,GLEN-M,IL0011198335,IL0011198335,True,GLOBE PU-M,גלוב יהש-ש,גלאנ-ש,Participating unit ,1548,GLEN-M.TA
1119924,ISOP,IL0011199242,IL0011199242,True,ISRAEL OP PU,הזדמנות יהש,הזיש,Participating unit ,1551,ISOP.TA
1120161,EFNC-M,IL0011201618,IL0011201618,True,ERECH FINANCEM,ערך פיננסים-ש,עפנכ-ש,Shares,1550,EFNC-M.TA
1120583,CPI0841,IL0011205833,IL0011205833,True,ILCPI2.75% 0841,ממשל צמודה 0841,ממצמ0841,Government Bonds,954,CPI0841.TA
1121474,ILDR,IL0011214744,IL0011214744,True,ILD RENEWAL,הכשרה התחדשות,הכשע,Shares,1561,ILDR.TA
1121730,PLUR,US72942G2030,IL0011217309,False,PLURI,פלורי,פלור,Shares,1569,PLUR.TA
1122654,STRG,IL0011226540,IL0011226540,True,STORAGE DROP,סטורג' דרופ,סטרג,Shares,1562,STRG.TA
1123017,LPSN,US5381463091,IL0011230179,False,LIVEPERSON,לייבפרסון,לפסן,Shares,1579,LPSN.TA
1123355,ENRG,IL0011233553,IL0011233553,True,ENERGIX,אנרג'יקס,אנרג,Shares,1581,ENRG.TA
1123777,VCTR,IL0011237778,IL0011237778,True,VICTORY,ויקטורי,וקטר,Shares,1583,VCTR.TA
1123850,CRSM,IL0011238503,IL0011238503,True,CARASSO MOTORS,קרסו מוטורס,קרסמ,Shares,1585,CRSM.TA
1124346,MKR.B8-I,IL0011243461,IL0011243461,True,MKOROT B8-I,מקורות אגח 8-רמ,מקר.ק8רמ,Corporate Bonds TASE UP,1150,MKR-B8-I.TA
1125400,GOI0142,IL0011254005,IL0011254005,True,ILGOV5.5 01/42,ממשל שקלית 0142,ממשק0142,Government Bonds,926,GOI0142.TA
1125509,NGL.B3-I,IL0011255093,IL0011255093,True,GAS LUNES B3-I,נתיביגז אגחג-רמ,נתמ.ק3רמ,Corporate Bonds TASE UP,1418,NGL-B3-I.TA
1129444,MNIN,IL0011294449,IL0011294449,True,MENDELSON IF,מנדלסוןתשת,מנתש,Shares,1247,MNIN.TA
1129493,TOEN,IL0011294936,IL0011294936,True,TOMER ENERGY,תומר אנרגיה,תמאנ,Shares,1609,TOEN.TA
1129501,IDIN,IL0011295016,IL0011295016,True,IDI INSUR,איידיאיי ביטוח,אדבט,Shares,1608,IDIN.TA
1129543,OPK,US68375N1037,IL0011295438,False,OPKO HEALTH,אופקו הלת',אפקו,Shares,1610,OPK.TA
1131523,MDTR,IL0011315236,IL0011315236,True,MEDITR TOWER,מגדלי תיכון,מגתכ,Shares,1614,MDTR.TA
1131556,SKLN,CA83084Y1007,IL0011315566,False,SKYLINE,סקייליין,סקלן,Shares,1613,SKLN.TA
1131697,AMX,IL0011316978,IL0011316978,True,AUTOMAX,אוטומקס,אמקס,Shares,2280,AMX.TA
1132315,ASHG,IL0011323156,IL0011323156,True,ASHTROM GROUP,אשטרום קבוצה,אשקב,Shares,1618,ASHG.TA
1132356,INRM,IL0011323560,IL0011323560,True,INROM CONST,אינרום,אנרם,Shares,1616,INRM.TA
1133131,ARSP.B4,IL0011331316,IL0011331316,True,AEROSPACE IN B4,תעש אוירית אגחד,תעא.ק4,Corporate Bonds,1457,ARSP-B4.TA
1133149,AMOT.B4,IL0011331498,IL0011331498,True,AMOT B4,אמות אגח ד,אמות.ק4,Corporate Bonds,1328,AMOT-B4.TA
1133487,ARPT.B5,IL0011334872,IL0011334872,True,AIRPORT B5,ארפורט אגח ה,ארפט.ק5,Corporate Bonds,1300,ARPT-B5.TA
1133875,SPEN,IL0011338758,IL0011338758,True,SHAPIR ENG,שפיר הנדסה,שפהנ,Shares,1633,SPEN.TA
1134048,HRIS.B10,IL0011340481,IL0011340481,True,HAREL ISSUE B10,הראל הנפק אגח י,הרהנ.ק10,Corporate Bonds,1367,HRIS-B10.TA
1134139,KEN,SG9999012629,IL0011341398,False,KENON,קנון,קנון,Shares,1635,KEN.TA
1134402,ORA,US6866881021,IL0011344020,False,ORMAT TECHNO,אורמת טכנו,ארמת,Shares,2250,ORA.TA
1134865,CPI0545,IL0011348658,IL0011348658,True,ILCPI 1% 0545,ממשל צמודה 0545,ממצמ0545,Government Bonds,954,CPI0545.TA
1134881,ELDT,IL0011348815,IL0011348815,True,ELDAN TRANS,אלדן תחבורה,אלדת,Shares,1636,ELDT.TA
1135417,PNCP.B5,IL0011354177,IL0011354177,True,PHONIX CAP B5,פניקס הון אגח ה,פנהס.ק5,Corporate Bonds,1527,PNCP-B5.TA
1135706,ORON,IL0011357063,IL0011357063,True,ORON GROUP,אורון קבוצה,אורנ,Shares,1644,ORON.TA
1135888,SKBN.B8,IL0011358889,IL0011358889,True,SHIKUN BIN B8,שכון ובי אגח 8,שוב.ק8,Corporate Bonds,1068,SKBN-B8.TA
1136316,HRIS.B11,IL0011363160,IL0011363160,True,HAREL ISSUE B11,הראל הנפ אגח יא,הרהנ.ק11,Corporate Bonds,1367,HRIS-B11.TA
1136365,LCTX,US53566P1093,IL0011363657,False,LINEAGE THERAP,ליניאג תרפיוטיק,לינג,Shares,1651,LCTX.TA
1136464,CRSM.B1,IL0011364648,IL0011364648,True,CARASSO MOT B1,קרסו מוט' אגח א,קרסמ.ק1,Corporate Bonds,1585,CRSM-B1.TA
1136753,RIT1.B5,IL0011367534,IL0011367534,True,REIT 1 B5,ריט 1 אגח ה,ריט1.ק5,Corporate Bonds,1357,RIT1-B5.TA
1136829,ALMA,IL0011368292,IL0011368292,True,ALMOGIM,אלמוגים,אלמה,Shares,1553,ALMA.TA
1137975,TZRS.B3,IL0011379752,IL0011379752,True,THE ZARASAI B3,דה זראסאי אגח ג,דזרס.ק3,Corporate Bonds,1604,TZRS-B3.TA
1138163,HRIS.B12,IL0011381634,IL0011381634,True,HAREL ISSUE B12,הראל הנפ אגח יב,הרהנ.ק12,Corporate Bonds,1367,HRIS-B12.TA
1138171,HRIS.B13,IL0011381717,IL0011381717,True,HAREL ISSUE B13,הראל הנפ אגח יג,הרהנ.ק13,Corporate Bonds,1367,HRIS-B13.TA
1138379,SHGR,IL0011383796,IL0011383796,True,SHAGRIR,שגריר,שגרר,Shares,1664,SHGR.TA
1138544,RIT1.B6,IL0011385445,IL0011385445,True,REIT 1 B6,ריט 1 אגח ו,ריט1.ק6,Corporate Bonds,1357,RIT1-B6.TA
1138650,AZRL.B4,IL0011386500,IL0011386500,True,AZRIELI B4,עזריאלי אגח ד,עזרל.ק4,Corporate Bonds,1420,AZRL-B4.TA
1138825,DIF.11-I,IL0011388258,IL0011388258,True,DIRECTINS B11-I,ביט ישיראגיא-רמ,בטש.11-מ,Corporate Bonds TASE UP,1089,DIF-11-I.TA
1138940,SMT.B8,IL0011389405,IL0011389405,True,SUMMIT B8,סאמיט אגח ח,סמט.ק8,Corporate Bonds,1060,SMT-B8.TA
1138973,SLARL.B3,IL0011389736,IL0011389736,True,SELLA REALES B3,סלע נדלן אגח ג,סלענד.ק3,Corporate Bonds,1514,SLARL-B3.TA
1138999,MTM.B1-I,IL0011389991,IL0011389991,True,"MT""M . B1-I","מת""ם אגח א -רמ",מתם.ק1רמ,Corporate Bonds TASE UP,1666,MTM-B1-I.TA
1139195,MGRT,IL0011391955,IL0011391955,True,MGURIT,מגוריט,מריט,Shares,1668,MGRT.TA
1139344,GOI0327,IL0011393449,IL0011393449,True,ILGOV 2.0 03/27,ממשל שקלית 0327,ממשק0327,Government Bonds,926,GOI0327.TA
1139542,PAZ.B6,IL0011395428,IL0011395428,True,PAZ ENERGY B6,פז אנרגיה אגח ו,פז.ק6,Corporate Bonds,1363,PAZ-B6.TA
1139617,OVRS,IL0011396178,IL0011396178,True,OVERSEAS,אוברסיז,אובר,Shares,1671,OVRS.TA
1139716,LVPR.B2,IL0011397168,IL0011397168,True,LEVINSTEIN P B2,לוינשט נכ אגח ב,לשנכ.ק2,Corporate Bonds,1536,LVPR-B2.TA
1139864,RTPT,IL0011398646,IL0011398646,True,RATIO PETROL PU,רציו פטרול יהש,רצפט,Participating unit ,1672,RTPT.TA
1139898,SPNR.B2,IL0011398984,IL0011398984,True,SPENCER B2,ספנסר אגח ב,ספנר.ק2,Corporate Bonds,1628,SPNR-B2.TA
1139955,MDPR,CY0100361019,IL0011399552,False,MEDIPOWER 0.1$,מדיפאואר,מדפר,Shares,1433,MDPR.TA
